  1   26.083    4.383     0.45      0.10000
  2   19.100   19.250    12.60       345.00
  3   20.250  -12.683     0.39       3.0000
  4    6.500   -1.417    10.50       1.0700
  5   25.317   24.333     2.00       120.00
  6   17.417   21.750    14.00       345.00
  7  -32.717   24.433     0.64      0.25000
  8   22.017   26.083     0.05       0.0000
  9  -22.483   27.583     3.50       180.00
 10  -10.167   28.000    17.00       573.00
 11  -26.467   23.533    70.00       145.00
 12   24.583   24.400    18.00       120.00
 13   29.000   -7.550     3.50       70.000
 14  -27.767   16.300     2.50       3.7000
 15   33.317    4.033     1.75       3.0000
 16   22.917  -10.400     1.90     0.021400
 17   27.600    5.117     6.00       70.000
 18  -25.400   28.083     1.13      0.22000
 19  -27.000   27.500   160.00       2023.0
 20   71.000  121.667     8.00       40.000
 21   48.567   82.017     8.00       5.0000
 22   49.167   57.850     5.50       46.000
 23   75.700   97.800     6.00       70.000
 24   25.300   78.133    11.00       1700.0
 25   67.500  172.083    18.00       3.5000
 26   48.433   40.533     3.00       49.000
 27   61.967   30.917    14.00       700.00
 28   31.050   36.800     5.50       56.000
 29   54.500   36.200    15.00       380.00
 30   48.350   40.500    25.00       49.000
 31   69.100   64.150    65.00       70.300
 32   39.017   73.450    52.00       5.0000
 33   54.917   48.033    10.00       5.0000
 34   51.700   36.000     6.00       250.00
 35   65.517   95.933    20.00       40.000
 36   19.967   76.517     1.83     0.052000
 37   60.100  117.583     0.30    0.0070000
 38   58.717   28.050     2.50       300.00
 39   71.650  111.183    90.00       35.700
 40   56.967   43.717    40.00       167.00
 41   58.733   61.800     9.00       46.000
 42   47.200   72.700     2.80       45.000
 43   46.117  134.667     0.02   6.7000e-05
 44   46.300  137.867     0.05    0.0010000
 45   63.117   33.383    16.00       2400.0
 46   44.117  109.650     1.30       150.00
 47   21.500   50.467     0.11   0.00014000
 48   40.350  123.450     1.80     0.050000
 49   48.400   60.967    14.00      0.90000
 50  -32.017  135.450    90.00       590.00
 51  -20.917  134.833    20.00       1640.0
 52  -22.617  135.200     0.17    0.0054000
 53  -23.533  124.750     9.00       60.000
 54  -34.717  139.033     8.50       35.000
 55  -27.633  117.283     0.02      0.27000
 56  -34.617  139.067    10.00       35.000
 57  -16.667  136.783     6.00       545.00
 58  -18.333  126.667     5.10       50.000
 59  -23.817  132.317    22.00       142.50
 60  -13.467  135.033     3.00       1400.0
 61  -24.567  133.133     0.15    0.0042000
 62  -19.933  133.950    10.00       550.00
 63  -18.667  138.650    18.00       515.00
 64  -12.400  134.050     1.60       150.00
 65  -15.500  131.183     7.50       1402.0
 66  -27.950  135.367     4.00       110.00
 67  -17.533  128.417     7.00       360.00
 68  -25.867  120.883    30.00       1630.0
 69  -16.733  126.083    13.00       570.00
 70  -15.200  133.583    25.00       646.00
 71  -27.117  142.833    55.00       128.00
 72  -22.967  125.367     0.08       1.0000
 73  -19.167  127.800     0.87      0.30000
 74  -26.050  114.650    40.00       364.00
 75  -27.167  118.833    30.00       2000.0
 76   48.750   32.167    24.00       65.170
 77   61.800   16.800    19.00       89.000
 78   56.583   23.250     4.50       290.00
 79   60.650    9.000     5.00       500.00
 80   58.417   14.933     3.00       470.00
 81   57.367   16.250     1.20       443.00
 82   57.967   27.417     0.08    0.0066000
 83   49.117   29.100     8.50       378.00
 84   62.183   27.150     3.00       1000.0
 85   58.400   22.667     0.11    0.0040000
 86   59.017   22.767     7.00       455.00
 87   62.217   25.250     1.50       230.00
 88   62.133   24.600    30.00       1800.0
 89   63.200   23.700    23.00       76.200
 90   63.000   14.817     7.50       458.00
 91   54.200   27.800    15.00       42.300
 92   60.150   20.100     9.00       1000.0
 93   62.917   14.550     1.00       458.00
 94   56.417   14.867     9.00       121.00
 95   54.017   23.900     5.00       500.00
 96   73.800   29.667    40.00       142.00
 97   52.483   16.900     0.10     0.010000
 98   59.333   23.667     8.00       535.00
 99   49.583   32.917    20.00       169.00
100   62.033   29.083    10.00       1800.0
101   48.883   10.617    24.00       15.100
102   59.233    6.433     2.70       520.00
103   45.833    0.933    23.00       201.00
104   49.000   32.000     2.70       120.00
105   61.400   22.400     6.00       560.00
106   65.283   28.383     1.50       600.00
107   61.033   14.867    52.00       376.80
108   63.033   21.583     6.60       600.00
109   48.683   10.067     3.80       15.000
110   62.700   28.167     4.00       1000.0
111   62.600   28.217     3.80       250.00
112   48.133   33.517    11.00       280.00
113   58.767   17.417     2.00       455.00
114   55.083   24.583     8.00       160.00
115   49.733   29.000     3.20       165.00
116   48.067   32.750     3.50       80.000
117   36.250  -98.200    16.00       470.00
118   71.250 -156.633    12.00       0.0000
119   35.033 -111.017     1.18     0.049000
120   44.600 -113.000    60.00       600.00
121   46.083  -78.483     3.80       453.00
122   41.833  -85.950     8.50       450.00
123   58.450 -109.500    39.00       115.00
124   47.533  -70.300    54.00       342.00
125   37.283  -76.017    40.00       35.500
126   21.333  -89.500   150.00       64.980
127   56.083  -74.117    26.00       460.00
128   56.217  -74.500    36.00       290.00
129   43.117 -106.750     7.00       190.00
130   60.133  -75.333     8.00       430.00
131   37.833  -91.383     7.00       320.00
132   37.900  -92.717     6.00       300.00
133   56.400 -102.983    13.00       99.000
